id,score,content,type,summary
Digital Services Act (DSA) - Contextual paragraph (28),0.741178513,"Details of the contextual paragraph (28) of the Digital Services Act (DSA): Since 2000, new technologies have emerged that improve the availability, efficiency, speed, reliability, capacity and security of systems for the transmission, 'findability' and storage of data online, leading to an increasingly complex online ecosystem. In this regard, it should be recalled that providers of services establishing and facilitating the underlying logical architecture and proper functioning of the internet, including technical auxiliary functions, can also benefit from the exemptions from liability set out in this Regulation, to the extent that their services qualify as 'mere conduit', 'caching' or 'hosting' services. Such services include, as the case may be, wireless local area networks, domain name system (DNS) services, top-level domain name registries, registrars, certificate authorities that issue digital certificates, virtual private networks, online search engines, cloud infrastructure services, or content delivery networks, that enable, locate or improve the functions of other providers of intermediary services. Likewise, services used for communications purposes, and the technical means of their delivery, have also evolved considerably, giving rise to online services such as Voice over IP, messaging services and web-based email services, where the communication is delivered via an internet access service. Those services, too, can benefit from the exemptions from liability, to the extent that they qualify as 'mere conduit', 'caching' or 'hosting' services.",recital,"The Digital Services Act (DSA) recognizes that technology has greatly advanced since 2000, creating a complex online ecosystem. The DSA clarifies that providers of services that help the internet function properly can be exempt from liability if their services are classified as 'mere conduit', 'caching' or 'hosting' services. This can include services like Wi-Fi networks, domain name systems, digital certificate issuers, virtual private networks, search engines, cloud services, and content delivery networks. Additionally, communication services like Voice over IP, messaging services and web-based email services can also be exempt from liability if they meet the same classifications."
General Data Protection Regulation (GDPR) - Contextual Paragraph (153),0.741038084,"Details of the Contextual Paragraph (153) in the General Data Protection Regulation (GDPR): Member States law should reconcile the rules governing freedom of expression and information, including journalistic, academic, artistic and or literary expression with the right to the protection of personal data pursuant to this Regulation. The processing of personal data solely for journalistic purposes, or for the purposes of academic, artistic or literary expression should be subject to derogations or exemptions from certain provisions of this Regulation if necessary to reconcile the right to the protection of personal data with the right to freedom of expression and information, as enshrined in Article 11 of the Charter. This should apply in particular to the processing of personal data in the audiovisual field and in news archives and press libraries. Therefore, Member States should adopt legislative measures which lay down the exemptions and derogations necessary for the purpose of balancing those fundamental rights. Member States should adopt such exemptions and derogations on general principles, the rights of the data subject, the controller and the processor, the transfer of personal data to third countries or international organisations, the independent supervisory authorities, cooperation and consistency, and specific data-processing situations. Where such exemptions or derogations differ from one Member State to another, the law of the Member State to which the controller is subject should apply. In order to take account of the importance of the right to freedom of expression in every democratic society, it is necessary to interpret notions relating to that freedom, such as journalism, broadly.",recital,"The General Data Protection Regulation (GDPR) states that each member country should create laws that balance the right to freedom of expression and information (including journalism, academics, art, and literature) with the right to protect personal data. This may involve exceptions to some GDPR rules, particularly for data used in news, audiovisual content, and libraries. These exceptions should be based on general principles, the rights of the individual and data controllers, data transfer to third countries, independent authorities, cooperation, and specific data situations. If these exceptions vary between countries, the laws of the country where the data controller is located should apply. The definition of freedom of expression, such as journalism, should be interpreted broadly."
General Data Protection Regulation (GDPR) - Contextual Paragraph (170),0.740949631,"Details of the Contextual Paragraph (170) in the General Data Protection Regulation (GDPR): Since the objective of this Regulation, namely to ensure an equivalent level of protection of natural persons and the free flow of personal data throughout the Union, cannot be sufficiently achieved by the Member States and can rather, by reason of the scale or effects of the action, be better achieved at Union level, the Union may adopt measures, in accordance with the principle of subsidiarity as set out in Article 5 of the Treaty on European Union (TEU). In accordance with the principle of proportionality as set out in that Article, this Regulation does not go beyond what is necessary in order to achieve that objective.",recital,"The General Data Protection Regulation (GDPR) aims to protect individuals' personal data and ensure its free movement within the European Union (EU). The law states that individual member states cannot provide this protection adequately on their own, so the EU has stepped in to address the issue. The GDPR has been designed to offer the necessary protection without overstepping its bounds, following the principles of subsidiarity and proportionality outlined in the Treaty on European Union."
Digital Services Act (DSA) - Contextual paragraph (78),0.740827322,"Details of the contextual paragraph (78) of the Digital Services Act (DSA): In view of the network effects characterising the platform economy, the user base of an online platform or an online search engine may quickly expand and reach the dimension of a very large online platform or a very large online search engine, with the related impact on the internal market. This may be the case in the event of exponential growth experienced in short periods of time, or by a large global presence and turnover allowing the online platform or the online search engine to fully exploit network effects and economies of scale and of scope. A high annual turnover or market capitalisation can in particular be an indication of fast scalability in terms of user reach. In those cases, the Digital Services Coordinator of establishment or the Commission should be able to request more frequent reporting from the provider of the online platform or of the online search engine on the number of active recipients of the service to be able to timely identify the moment at which that platform or that search engine should be designated as a very large online platform or very large online search engine, respectively, for the purposes of this Regulation.",recital,"The Digital Services Act (DSA) recognizes that online platforms and search engines can grow rapidly, impacting the online market. This growth can be due to a sudden increase in users or a large global presence. High yearly profits or market value can indicate this quick growth. If this happens, the DSA allows for the Digital Services Coordinator or the Commission to ask for more frequent reports from these platforms or search engines. These reports will help identify when these platforms or search engines become very large, which will affect how they are regulated under the DSA."
Digital Services Act (DSA) - Contextual paragraph (116),0.740566432,"Details of the contextual paragraph (116) of the Digital Services Act (DSA): In the course of the exercise of those powers, the competent authorities should comply with the applicable national rules regarding procedures and matters such as the need for a prior judicial authorisation to enter certain premises and legal professional privilege. Those provisions should in particular ensure respect for the fundamental rights to an effective remedy and to a fair trial, including the rights of defence, and, the right to respect for private life. In this regard, the guarantees provided for in relation to the proceedings of the Commission pursuant to this Regulation could serve as an appropriate point of reference. A prior, fair and impartial procedure should be guaranteed before taking any final decision, including the right to be heard of the persons concerned, and the right to have access to the file, while respecting confidentiality and professional and business secrecy, as well as the obligation to give meaningful reasons for the decisions. This should not preclude the taking of measures, however, in duly substantiated cases of urgency and subject to appropriate conditions and procedural arrangements. The exercise of powers should also be proportionate to, inter alia the nature and the overall actual or potential harm caused by the infringement or suspected infringement. The competent authorities should take all relevant facts and circumstances of the case into account, including information gathered by competent authorities in other Member States.",recital,"The Digital Services Act (DSA) requires authorities to follow national rules when exercising their powers, including needing court approval to enter certain places and respecting the confidentiality of legal advice. The law is designed to uphold fundamental rights like a fair trial, effective remedies, and privacy. Before making any final decisions, authorities must ensure a fair process, including hearing from the people involved and providing access to the case file while maintaining confidentiality. Urgent actions can be taken under certain conditions. The actions taken should be proportionate to the harm caused by the violation. Authorities should consider all relevant facts and information, including data from authorities in other member states."
Digital Services Act (DSA) - Contextual paragraph (63),0.740538239,"Details of the contextual paragraph (63) of the Digital Services Act (DSA): The misuse of online platforms by frequently providing manifestly illegal content or by frequently submitting manifestly unfounded notices or complaints under the mechanisms and systems, respectively, established under this Regulation undermines trust and harms the rights and legitimate interests of the parties concerned. Therefore, there is a need to put in place appropriate, proportionate and effective safeguards against such misuse, that need to respect the rights and legitimate interests of all parties involved, including the applicable fundamental rights and freedoms as enshrined in the Charter, in particular the freedom of expression. Information should be considered to be manifestly illegal content and notices or complaints should be considered manifestly unfounded where it is evident to a layperson, without any substantive analysis, that the content is illegal or, respectively, that the notices or complaints are unfounded.",recital,"The Digital Services Act (DSA) addresses the misuse of online platforms, specifically the frequent posting of clearly illegal content or the submission of obviously baseless complaints. The DSA aims to protect the rights of all parties involved and maintain trust in online platforms. It calls for safeguards to prevent such misuse, while respecting everyone's rights, including freedom of expression. Content or complaints are considered clearly illegal or baseless if an average person can easily identify them as such without needing a detailed analysis."
Digital Services Act (DSA) - Contextual paragraph (86),0.740377903,"Details of the contextual paragraph (86) of the Digital Services Act (DSA): Providers of very large online platforms and of very large online search engines should deploy the necessary means to diligently mitigate the systemic risks identified in the risk assessments, in observance of fundamental rights. Any measures adopted should respect the due diligence requirements of this Regulation and be reasonable and effective in mitigating the specific systemic risks identified. They should be proportionate in light of the economic capacity of the provider of the very large online platform or of the very large online search engine and the need to avoid unnecessary restrictions on the use of their service, taking due account of potential negative effects on those fundamental rights. Those providers should give particular consideration to the impact on freedom of expression.",recital,"The Digital Services Act (DSA) requires large online platforms and search engines to take necessary steps to mitigate any systemic risks identified in their risk assessments, while respecting user rights. Any measures they adopt should be reasonable, effective, and proportionate to their economic capacity. They should not unnecessarily restrict the use of their service and should consider potential negative impacts on user rights, particularly freedom of expression."
Digital Services Act (DSA) - Contextual paragraph (47),0.740114629,"Details of the contextual paragraph (47) of the Digital Services Act (DSA): When designing, applying and enforcing those restrictions, providers of intermediary services should act in a non-arbitrary and non-discriminatory manner and take into account the rights and legitimate interests of the recipients of the service, including fundamental rights as enshrined in the Charter. For example, providers of very large online platforms should in particular pay due regard to freedom of expression and of information, including media freedom and pluralism. All providers of intermediary services should also pay due regard to relevant international standards for the protection of human rights, such as the United Nations Guiding Principles on Business and Human Rights.",recital,"The Digital Services Act (DSA) requires providers of intermediary services to act fairly and without bias when setting and enforcing rules. They must consider the rights and interests of their users, including fundamental freedoms like freedom of expression and information. This is particularly important for large online platforms. Additionally, all providers must respect international human rights standards, such as the United Nations Guiding Principles on Business and Human Rights."
Digital Markets Act (DMA) - Contextual Paragraph (102),0.739694476,"Details of the Contextual Paragraph (102) in the Digital Markets Act (DMA): Whistleblowers can bring new information to the attention of competent authorities which can help the competent authorities detect infringements of this Regulation and enable them to impose penalties. It should be ensured that adequate arrangements are in place to enable whistleblowers to alert the competent authorities to actual or potential infringements of this Regulation and to protect the whistleblowers from retaliation. For that purpose, it should be provided in this Regulation that Directive (EU) 2019/1937 of the European Parliament and of the Council ( 20) is applicable to the reporting of breaches of this Regulation and to the protection of persons reporting such breaches.",rectial,"The Digital Markets Act (DMA) includes a provision (Paragraph 102) that encourages whistleblowers to report any violations of the law to the appropriate authorities. The law ensures that there are sufficient measures in place to allow whistleblowers to report any actual or potential violations of the law, and to protect them from any backlash or retaliation. The law also states that the European Parliament's Directive (EU) 2019/1937 applies to the reporting of these violations and the protection of the whistleblowers."
Digital Services Act (DSA) - Contextual paragraph (61),0.7396788,"Details of the contextual paragraph (61) of the Digital Services Act (DSA): Action against illegal content can be taken more quickly and reliably where providers of online platforms take the necessary measures to ensure that notices submitted by trusted flaggers, acting within their designated area of expertise, through the notice and action mechanisms required by this Regulation are treated with priority, without prejudice to the requirement to process and decide upon all notices submitted under those mechanisms in a timely, diligent and non-arbitrary manner. Such trusted flagger status should be awarded by the Digital Services Coordinator of the Member State in which the applicant is established and should be recognised by all providers of online platforms within the scope of this Regulation. Such trusted flagger status should only be awarded to entities, and not individuals, that have demonstrated, among other things, that they have particular expertise and competence in tackling illegal content and that they work in a diligent, accurate and objective manner. Such entities can be public in nature, such as, for terrorist content, internet referral units of national law enforcement authorities or of the European Union Agency for Law Enforcement Cooperation ('Europol') or they can be non-governmental organisations and private or semi-public bodies such as the organisations part of the INHOPE network of hotlines for reporting child sexual abuse material and organisations committed to notifying illegal racist and xenophobic expressions online. To avoid diminishing the added value of such mechanism, the overall number of trusted flaggers awarded in accordance with this Regulation should be limited. In particular, industry associations representing their members' interests are encouraged to apply for the status of trusted flaggers, without prejudice to the right of private entities or individuals to enter into bilateral agreements with the providers of online platforms.",recital,"The Digital Services Act (DSA) introduces a new system for tackling illegal online content. It encourages online platforms to prioritize reports from ""trusted flaggers,"" experts in identifying and reporting such content. These trusted flaggers, which can be public entities like law enforcement or private organizations like child abuse hotlines, are recognized by all online platforms under this law. They must be entities, not individuals, and must demonstrate expertise in identifying illegal content. The number of trusted flaggers will be limited to ensure the system's effectiveness. Industry associations are encouraged to apply for trusted flagger status, but private entities and individuals can still make agreements with online platforms."
Digital Services Act (DSA) - Contextual paragraph (90),0.739091456,"Details of the contextual paragraph (90) of the Digital Services Act (DSA): Providers of very large online platforms and of very large online search engines should ensure that their approach to risk assessment and mitigation is based on the best available information and scientific insights and that they test their assumptions with the groups most impacted by the risks and the measures they take. To this end, they should, where appropriate, conduct their risk assessments and design their risk mitigation measures with the involvement of representatives of the recipients of the service, representatives of groups potentially impacted by their services, independent experts and civil society organisations. They should seek to embed such consultations into their methodologies for assessing the risks and designing mitigation measures, including, as appropriate, surveys, focus groups, round tables, and other consultation and design methods. In the assessment on whether a measure is reasonable, proportionate and effective, special consideration should be given to the right to freedom of expression.",recital,"The Digital Services Act (DSA) requires large online platforms and search engines to base their risk assessments and mitigation strategies on the best available information and scientific insights. They should also test their assumptions with the groups most affected by these risks and measures. This might involve conducting risk assessments and designing risk mitigation measures with the input of service users, groups potentially affected by their services, independent experts, and civil society organizations. This could include surveys, focus groups, round tables, and other consultation methods. When deciding if a measure is reasonable, proportionate, and effective, special attention should be paid to the right to freedom of expression."
Digital Services Act (DSA) - Contextual paragraph (126),0.739037037,"Details of the contextual paragraph (126) of the Digital Services Act (DSA): The rules of this Regulation on the allocation of competence should be without prejudice to the provisions of Union law and national rules on private international law concerning jurisdiction and applicable law in civil and commercial matters, such as proceedings brought by consumers in the courts of the Member State where they are domiciled in accordance with relevant provisions of Union law. Regarding the obligations imposed by this Regulation on providers of intermediary services to inform the issuing authority of the effect given to the orders to act against illegal content and orders to provide information, the rules on allocation of competence should only apply to the supervision of enforcement of those obligations, but not to other matters related to the order, such as the competence to issue the order.",recital,"The Digital Services Act (DSA) sets rules about who has the power to enforce its provisions. However, these rules don't affect existing EU and national laws about which court has jurisdiction in civil and commercial cases, including cases where consumers sue in their home country's courts. The DSA requires online service providers to tell the authority that issued an order against illegal content about how they complied with that order. The rules about who has the power to enforce the DSA only apply to making sure these obligations are met, not to other issues related to the order, like who has the power to issue the order."
General Data Protection Regulation (GDPR) - Contextual Paragraph (166),0.739019275,"Details of the Contextual Paragraph (166) in the General Data Protection Regulation (GDPR): In order to fulfil the objectives of this Regulation, namely to protect the fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data and to ensure the free movement of personal data within the Union, the power to adopt acts in accordance with Article 290 TFEU should be delegated to the Commission. In particular, delegated acts should be adopted in respect of criteria and requirements for certification mechanisms, information to be presented by standardised icons and procedures for providing such icons. It is of particular importance that the Commission carry out appropriate consultations during its preparatory work, including at expert level. The Commission, when preparing and drawing-up delegated acts, should ensure a simultaneous, timely and appropriate transmission of relevant documents to the European Parliament and to the Council.",recital,"The General Data Protection Regulation (GDPR) Paragraph 166 aims to protect the rights and freedoms of individuals, particularly their personal data, and ensure free movement of this data within the EU. The Commission has the power to create acts that determine the criteria for certification mechanisms, the information presented by standard icons, and the procedures for providing these icons. The Commission should consult appropriately during its preparations, including with experts. It should also ensure that relevant documents are timely and appropriately shared with the European Parliament and the Council."
Digital Services Act (DSA) - Contextual paragraph (131),0.738666475,"Details of the contextual paragraph (131) of the Digital Services Act (DSA): In order to ensure a consistent application of this Regulation, it is necessary to set up an independent advisory group at Union level, a European Board for Digital Services, which should support the Commission and help coordinate the actions of Digital Services Coordinators. The Board should consist of the Digital Services Coordinators, where these have been appointed, without prejudice to the possibility for Digital Services Coordinators to invite in its meetings or appoint ad hoc delegates from other competent authorities entrusted with specific tasks under this Regulation, where that is required pursuant to their national allocation of tasks and competences. In case of multiple participants from one Member State, the voting right should remain limited to one representative per Member State.",recital,"The Digital Services Act (DSA) is introducing a new independent advisory group called the European Board for Digital Services. This board will assist the Commission and coordinate the actions of Digital Services Coordinators. These coordinators can invite or appoint delegates from other authorities to join their meetings if needed. However, each Member State will only have one vote, regardless of how many participants they have."
Digital Services Act (DSA) - Contextual paragraph (81),0.738475502,"Details of the contextual paragraph (81) of the Digital Services Act (DSA): A second category concerns the actual or foreseeable impact of the service on the exercise of fundamental rights, as protected by the Charter, including but not limited to human dignity, freedom of expression and of information, including media freedom and pluralism, the right to private life, data protection, the right to non-discrimination, the rights of the child and consumer protection. Such risks may arise, for example, in relation to the design of the algorithmic systems used by the very large online platform or by the very large online search engine or the misuse of their service through the submission of abusive notices or other methods for silencing speech or hampering competition. When assessing risks to the rights of the child, providers of very large online platforms and of very large online search engines should consider for example how easy it is for minors to understand the design and functioning of the service, as well as how minors can be exposed through their service to content that may impair minors' health, physical, mental and moral development. Such risks may arise, for example, in relation to the design of online interfaces which intentionally or unintentionally exploit the weaknesses and inexperience of minors or which may cause addictive behaviour.",recital,"The Digital Services Act (DSA) introduces new rules to protect fundamental rights online. These rights include human dignity, freedom of speech, privacy, data protection, anti-discrimination, children's rights, and consumer protection. The law is particularly concerned with the potential negative impacts of algorithmic systems used by large online platforms and search engines. Examples of such impacts include the misuse of these services to silence speech or hinder competition, and the potential harm to minors. The law requires these providers to consider how their design may be understood by minors and how it may expose them to harmful content. It also addresses concerns about designs that exploit minors' inexperience or encourage addictive behavior."
Digital Markets Act (DMA) - Contextual Paragraph (56),0.737983525,"Details of the Contextual Paragraph (56) in the Digital Markets Act (DMA): Gatekeepers can also have a dual role as developers of operating systems and device manufacturers, including any technical functionality that such a device may have. For example, a gatekeeper that is a manufacturer of a device can restrict access to some of the functionalities in that device, such as near-field-communication technology, secure elements and processors, authentication mechanisms and the software used to operate those technologies, which can be required for the effective provision of a service provided together with, or in support of, the core platform service by the gatekeeper as well as by any potential third-party undertaking providing such service.",rectial,"The Digital Markets Act (DMA) discusses how large tech companies, referred to as ""gatekeepers,"" can also be creators of operating systems and devices. These gatekeepers can limit access to certain features on their devices, such as secure elements, processors, and the software that operates these technologies. This can affect both the services provided by the gatekeeper and any third-party services. In simpler terms, big tech companies can control what parts of their devices and systems other companies can use, which can influence the services those other companies can offer."
