law_name,section,content,type
California Consumer Privacy Act Regulations (CCPA),Definition of Price or service difference,"Details of Definition of Price or service difference in the California Consumer Privacy Act Regulations (CCPA): “Price or service difference” means (1) any difference in the price or rate charged for any goods or services to any consumer related to the collection, retention, or sale of personal information, including through the use of discounts, financial payments, or other benefits or penalties; or (2) any difference in the level or quality of any goods or services offered to any consumer related to the collection, retention, or sale of personal information, including the denial of goods or services to the consumer.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Privacy policy,"Details of Definition of Privacy policy in the California Consumer Privacy Act Regulations (CCPA): “Privacy policy” as referred to in Civil Code section 1798.130, subdivision (a)(5), means the statement that a business shall make available to consumers describing the business’s practices, both online and offline, regarding the collection, use, disclosure, and sale of personal information, and of the rights of consumers regarding their own personal information.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Request to delete,"Details of Definition of Request to delete in the California Consumer Privacy Act Regulations (CCPA): “Request to delete” means a consumer request that a business delete personal information about the consumer that the business has collected from the consumer, pursuant to Civil Code section 1798.105.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Request to know,"Details of Definition of Request to know in the California Consumer Privacy Act Regulations (CCPA): “Request to know” means a consumer request that a business disclose personal information that it has collected about the consumer pursuant to Civil Code sections 1798.100, 1798.110, or 1798.115. It includes a request for any or all of the following: (1) Specific pieces of personal information that a business has collected about the consumer; (2) Categories of personal information it has collected about the consumer; (3) Categories of sources from which the personal information is collected; (4) Categories of personal information that the business sold or disclosed for a business purpose about the consumer; (5) Categories of third parties to whom the personal information was sold or disclosed for a business purpose; and (6) The business or commercial purpose for collecting or selling personal information.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Request to opt-in,"Details of Definition of Request to opt-in in the California Consumer Privacy Act Regulations (CCPA): “Request to opt-in” means the affirmative authorization that the business may sell personal information about the consumer by a parent or guardian of a consumer less than 13 years of age, by a consumer at least 13 and less than 16 years of age, or by a consumer who had previously opted out of the sale of their personal information.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Request to opt-out,"Details of Definition of Request to opt-out in the California Consumer Privacy Act Regulations (CCPA): “Request to opt-out” means a consumer request that a business not sell the consumer’s personal information to third parties, pursuant to Civil Code section 1798.120, subdivision (a).",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Signed,"Details of Definition of Signed in the California Consumer Privacy Act Regulations (CCPA): “Signed” means that the written attestation, declaration, or permission has either been physically signed or provided electronically in accordance with the Uniform Electronic Transactions Act, Civil Code section 1633.1 et seq.",recital
California Consumer Privacy Act Regulations (CCPA),Definition of Third-party identity verification service,Details of Definition of Third-party identity verification service in the California Consumer Privacy Act Regulations (CCPA): “Third-party identity verification service” means a security process offered by an independent third party that verifies the identity of the consumer making a request to the business. Third-party identity verification services are subject to the requirements set forth in Article 4 regarding requests to know and requests to delete.,recital
California Consumer Privacy Act Regulations (CCPA),Definition of Value of the consumer’s data,Details of Definition of Value of the consumer’s data in the California Consumer Privacy Act Regulations (CCPA): “Value of the consumer’s data” means the value provided to the business by the consumer’s data as calculated under section 999.337.,recital
California Consumer Privacy Act Regulations (CCPA),Definition of Verify,"Details of Definition of Verify in the California Consumer Privacy Act Regulations (CCPA): “Verify” means to determine that the consumer making a request to know or request to delete is the consumer about whom the business has collected information, or if that consumer is less than 13 years of age, the consumer’s parent or legal guardian.",recital
California Consumer Privacy Act Regulations (CCPA),Article 2 Notice to Consumers - § 999.304 Overview of Required Notices,Details of Article 2 Notice to Consumers - § 999.304 Overview of Required Notices. in the California Consumer Privacy Act Regulations (CCPA): (a) Every business that must comply with the CCPA and these regulations shall provide a privacy policy in accordance with the CCPA and section 999.308. (b) A business that collects personal information from a consumer shall provide a notice at collection in accordance with the CCPA and section 999.305. (c) A business that sells personal information shall provide a notice of right to opt-out in accordance with the CCPA and section 999.306. (d) A business that offers a financial incentive or price or service difference shall provide a notice of financial incentive in accordance with the CCPA and section 999.307.,article
California Consumer Privacy Act Regulations (CCPA),Article 2. Notice to Consumers - § 999.305 Notice at Collection of Personal Information,"Details of Article 2 - Notice to Consumers - § 999.305 Notice at Collection of Personal Information in the California Consumer Privacy Act Regulations (CCPA): (a) Purpose and General Principles (1) The purpose of the notice at collection is to provide consumers with timely notice, at or before the point of collection, about the categories of personal information to be collected from them and the purposes for which the personal information will be used. (2) The notice at collection shall be designed and presented in a way that is easy to read and understandable to consumers. The notice shall: a. Use plain, straightforward language and avoid technical or legal jargon. b. Use a format that draws the consumer’s attention to the notice and makes the notice readable, including on smaller screens, if applicable. c. Be available in the languages in which the business in its ordinary course provides contracts, disclaimers, sale announcements, and other information to consumers in California. d. Be reasonably accessible to consumers with disabilities. For notices provided online, the business shall follow generally recognized industry standards, such as the Web Content Accessibility Guidelines, version 2.1 of June 5, 2018, from the World Wide Web Consortium, incorporated herein by reference. In other contexts, the business shall provide information on how a consumer with a disability may access the notice in an alternative format. (3) The notice at collection shall be made readily available where consumers will encounter it at or before the point of collection of any personal information. Illustrative examples follow: a. When a business collects consumers’ personal information online, it may post a conspicuous link to the notice on the introductory page of the business’s website and on all webpages where personal information is collected. b. When a business collects personal information through a mobile application, it may provide a link to the notice on the mobile application’s download page and within the application, such as through the application’s settings menu. c. When a business collects consumers’ personal information offline, it may include the notice on printed forms that collect personal information, provide the consumer with a paper version of the notice, or post prominent signage directing consumers to where the notice can be found online. d. When a business collects personal information over the telephone or in person, it may provide the notice orally. (4) When a business collects personal information from a consumer’s mobile device for a purpose that the consumer would not reasonably expect, it shall provide a just-in-time notice containing a summary of the categories of personal information being collected and a link to the full notice at collection. For example, if the business offers a flashlight application and the application collects geolocation information, the business shall provide a just-in-time notice, such as through a pop-up window when the consumer opens the application, that contains the information required by this subsection. (5) A business shall not collect categories of personal information other than those disclosed in the notice at collection. If the business intends to collect additional categories of personal information, the business shall provide a new notice at collection. (6) If a business does not give the notice at collection to the consumer at or before the point of collection of their personal information, the business shall not collect personal information from the consumer. (b) A business shall include the following in its notice at collection: (1) A list of the categories of personal information about consumers to be collected. Each category of personal information shall be written in a manner that provides consumers a meaningful understanding of the information being collected. (2) The business or commercial purpose(s) for which the categories of personal information will be used. (3) If the business sells personal information, the link titled “Do Not Sell My Personal Information” required by section 999.315, subsection (a), or in the case of offline notices, where the webpage can be found online. (4) A link to the business’s privacy policy, or in the case of offline notices, where the privacy policy can be found online. (c) If a business collects personal information from a consumer online, the notice at collection may be given to the consumer by providing a link to the section of the business’s privacy policy that contains the information required in subsection (b). (d) A business that does not collect personal information directly from the consumer does not need to provide a notice at collection to the consumer if it does not sell the consumer’s personal information. (e) A data broker registered with the Attorney General pursuant to Civil Code section 1798.99.80 et seq. does not need to provide a notice at collection to the consumer if it has included in its registration submission a link to its online privacy policy that includes instructions on how a consumer can submit a request to opt-out. (f) A business collecting employment-related information shall comply with the provisions of section 999.305 except with regard to the following: (1) The notice at collection of employment-related information does not need to include the link or web address to the link titled “Do Not Sell My Personal Information”. (2) The notice at collection of employment-related information is not required to provide a link to the business’s privacy policy. (g) Subsection (f) shall become inoperative on January 1, 2021, unless the CCPA is amended otherwise.",article
California Consumer Privacy Act Regulations (CCPA),Article 2. Notice to Consumers - § 999.306 Notice of Right to Opt-Out of Sale of Personal Information,"Details of Article 2. Notice to Consumers - § 999.306 Notice of Right to Opt-Out of Sale of Personal Information in the California Consumer Privacy Act Regulations (CCPA): (a) Purpose and General Principles (1) The purpose of the notice of right to opt-out is to inform consumers of their right to direct a business that sells their personal information to stop selling their personal information. (2) The notice of right to opt-out shall be designed and presented in a way that is easy to read and understandable to consumers. The notice shall: a. Use plain, straightforward language and avoid technical or legal jargon. b. Use a format that draws the consumer’s attention to the notice and makes the notice readable, including on smaller screens, if applicable. c. Be available in the languages in which the business in its ordinary course provides contracts, disclaimers, sale announcements, and other information to consumers in California. d. Be reasonably accessible to consumers with disabilities. For notices provided online, the business shall follow generally recognized industry standards, such as the Web Content Accessibility Guidelines, version 2.1 of June 5, 2018, from the World Wide Web Consortium, incorporated herein by reference. In other contexts, the business shall provide information on how a consumer with a disability may access the notice in an alternative format. (b) A business that sells the personal information of consumers shall provide the notice of right to opt-out to consumers as follows: (1) A business shall post the notice of right to opt-out on the Internet webpage to which the consumer is directed after clicking on the “Do Not Sell My Personal Information” link on the website homepage or the download or landing page of a mobile application. In addition, a business that collects personal information through a mobile application may provide a link to the notice within the application, such as through the application’s settings menu. The notice shall include the information specified in subsection (c) or link to the section of the business’s privacy policy that contains the same information. (2) A business that does not operate a website shall establish, document, and comply with another method by which it informs consumers of their right to opt-out. That method shall comply with the requirements set forth in subsection (a)(2). (c) A business shall include the following in its notice of right to opt-out: (1) A description of the consumer’s right to opt-out of the sale of their personal information by the business; (2) The interactive form by which the consumer can submit their request to opt-out online, as required by section 999.315, subsection (a), or if the business does not operate a website, the offline method by which the consumer can submit their request to opt-out; and (3) Instructions for any other method by which the consumer may submit their request to opt-out. (d) A business does not need to provide a notice of right to opt-out if: (1) It does not sell personal information; and (2) It states in its privacy policy that it does not sell personal information. (e) A business shall not sell the personal information it collected during the time the business did not have a notice of right to opt-out posted unless it obtains the affirmative authorization of the consumer.",article
California Consumer Privacy Act Regulations (CCPA),Article 2. Notice to Consumers - § 999.307 Notice of Financial Incentive,"Details of Article 2. Notice to Consumers - § 999.307 Notice of Financial Incentive in the California Consumer Privacy Act Regulations (CCPA): (a) Purpose and General Principles (1) The purpose of the notice of financial incentive is to explain to the consumer the material terms of a financial incentive or price or service difference the business is offering so that the consumer may make an informed decision about whether to participate. A business that does not offer a financial incentive or price or service difference is not required to provide a notice of financial incentive. (2) The notice of financial incentive shall be designed and presented in a way that is easy to read and understandable to consumers. The notice shall: a. Use plain, straightforward language and avoid technical or legal jargon. b. Use a format that draws the consumer’s attention to the notice and makes the notice readable, including on smaller screens, if applicable. c. Be available in the languages in which the business in its ordinary course provides contracts, disclaimers, sale announcements, and other information to consumers in California. d. Be reasonably accessible to consumers with disabilities. For notices provided online, the business shall follow generally recognized industry standards, such as the Web Content Accessibility Guidelines, version 2.1 of June 5, 2018, from the World Wide Web Consortium, incorporated herein by reference. In other contexts, the business shall provide information on how a consumer with a disability may access the notice in an alternative format. e. Be readily available where consumers will encounter it before opting-in to the financial incentive or price or service difference. (3) If the business offers the financial incentive or price or service difference online, the notice may be given by providing a link to the section of a business’s privacy policy that contains the information required in subsection (b). (b) A business shall include the following in its notice of financial incentive: (1) A succinct summary of the financial incentive or price or service difference offered; (2) A description of the material terms of the financial incentive or price or service difference, including the categories of personal information that are implicated by the financial incentive or price or service difference and the value of the consumer’s data; (3) How the consumer can opt-in to the financial incentive or price or service difference; (4) A statement of the consumer’s right to withdraw from the financial incentive at any time and how the consumer may exercise that right; and (5) An explanation of how the financial incentive or price or service difference is reasonably related to the value of the consumer’s data, including: a. A good-faith estimate of the value of the consumer’s data that forms the basis for offering the financial incentive or price or service difference; and b. A description of the method the business used to calculate the value of the consumer’s data.",article
California Consumer Privacy Act Regulations (CCPA),Article 2. Notice to Consumers - § 999.308 Privacy Policy,"Details of Article 2. Notice to Consumers - § 999.308 Privacy Policy in the California Consumer Privacy Act Regulations (CCPA): (a) Purpose and General Principles (1) The purpose of the privacy policy is to provide consumers with a comprehensive description of a business’s online and offline practices regarding the collection, use, disclosure, and sale of personal information and of the rights of consumers regarding their personal information. (2) The privacy policy shall be designed and presented in a way that is easy to read and understandable to consumers. The policy shall: a. Use plain, straightforward language and avoid technical or legal jargon. b. Use a format that makes the policy readable, including on smaller screens, if applicable. c. Be available in the languages in which the business in its ordinary course provides contracts, disclaimers, sale announcements, and other information to consumers in California. d. Be reasonably accessible to consumers with disabilities. For notices provided online, the business shall follow generally recognized industry standards, such as the Web Content Accessibility Guidelines, version 2.1 of June 5, 2018, from the World Wide Web Consortium, incorporated herein by reference. In other contexts, the business shall provide information on how a consumer with a disability may access the policy in an alternative format. e. Be available in a format that allows a consumer to print it out as a document. (b) The privacy policy shall be posted online through a conspicuous link using the word “privacy” on the business’s website homepage or on the download or landing page of a mobile application. If the business has a California-specific description of consumers’ privacy rights on its website, then the privacy policy shall be included in that description. A business that does not operate a website shall make the privacy policy conspicuously available to consumers. A mobile application may include a link to the privacy policy in the application’s settings menu. (c) The privacy policy shall include the following information: (1) Right to Know About Personal Information Collected, Disclosed, or Sold. a. Explanation that a consumer has the right to request that the business disclose what personal information it collects, uses, discloses, and sells. b. Instructions for submitting a verifiable consumer request to know and links to an online request form or portal for making the request, if offered by the business. c. General description of the process the business will use to verify the consumer request, including any information the consumer must provide. d. Identification of the categories of personal information the business has collected about consumers in the preceding 12 months. The categories shall be described in a manner that provides consumers a meaningful understanding of the information being collected. e. Identification of the categories of sources from which the personal information is collected. f. Identification of the business or commercial purpose for collecting or selling personal information. The purpose shall be described in a manner that provides consumers a meaningful understanding of why the information is collected or sold. g. Disclosure or Sale of Personal Information. 1. Identification of the categories of personal information, if any, that the business has disclosed for a business purpose or sold to third parties in the preceding 12 months. 2. For each category of personal information identified, the categories of third parties to whom the information was disclosed or sold. 3. Statement regarding whether the business has actual knowledge that it sells the personal information of consumers under 16 years of age. (2) Right to Request Deletion of Personal Information. a. Explanation that the consumer has a right to request the deletion of their personal information collected by the business. b. Instructions for submitting a verifiable consumer request to delete and links to an online request form or portal for making the request, if offered by the business. c. General description of the process the business will use to verify the consumer request, including any information the consumer must provide. (3) Right to Opt-Out of the Sale of Personal Information. a. Explanation that the consumer has a right to opt-out of the sale of their personal information by a business. b. Statement regarding whether or not the business sells personal information. If the business sells personal information, include either the contents of the notice of right to opt-out or a link to it in accordance with section 999.306. (4) Right to Non-Discrimination for the Exercise of a Consumer’s Privacy Rights. a. Explanation that the consumer has a right not to receive discriminatory treatment by the business for the exercise of the privacy rights conferred by the CCPA. (5) Authorized Agent. a. Instructions on how an authorized agent can make a request under the CCPA on the consumer’s behalf. (6) Contact for More Information. a. A contact for questions or concerns about the business’s privacy policies and practices using a method reflecting the manner in which the business primarily interacts with the consumer. (7) Date the privacy policy was last updated. (8) If subject to the requirements set forth in section 999.317, subsection (g), the information compiled in section 999.317, subsection (g)(1), or a link to it. (9) If the business has actual knowledge that it sells the personal information of consumers under 16 years of age, a description of the processes required by sections 999.330 and 999.331.",article
California Consumer Privacy Act Regulations (CCPA),Article 3. Business Practices for Handling Consumer Requests - § 999.31 Methods for Submitting Requests to Know and Requests to Delete,"Details of Article 3. Business Practices for Handling Consumer Requests - § 999.31 Methods for Submitting Requests to Know and Requests to Delete in the California Consumer Privacy Act Regulations (CCPA): (a) A business that operates exclusively online and has a direct relationship with a consumer from whom it collects personal information shall only be required to provide an email address for submitting requests to know. All other businesses shall provide two or more designated methods for submitting requests to know, including, at a minimum, a toll-free telephone number. Other acceptable methods for submitting these requests include, but are not limited to, a designated email address, a form submitted in person, and a form submitted through the mail. (b) A business shall provide two or more designated methods for submitting requests to delete. Acceptable methods for submitting these requests include, but are not limited to, a toll-free phone number, a link or form available online through a business’s website, a designated email address, a form submitted in person, and a form submitted through the mail. (c) A business shall consider the methods by which it primarily interacts with consumers when determining which methods to provide for submitting requests to know and requests to delete. If the business interacts with consumers in person, the business shall consider providing an in-person method such as a printed form the consumer can directly submit or send by mail, a tablet or computer portal that allows the consumer to complete and submit an online form, or a telephone with which the consumer can call the business’s toll-free number. (d) A business may use a two-step process for online requests to delete where the consumer must first, submit the request to delete and then second, separately confirm that they want their personal information deleted. (e) If a consumer submits a request in a manner that is not one of the designated methods of submission, or is deficient in some manner unrelated to the verification process, the business shall either: (1) Treat the request as if it had been submitted in accordance with the business’s designated manner, or (2) Provide the consumer with information on how to submit the request or remedy any deficiencies with the request, if applicable. Note: Authority cited: Section 1798.185, Civil Code. Reference: Sections 1798.100, 1798.105, 1798.110, 1798.115, 1798.130, 1798.140 and 1798.185, Civil Code.",article
California Consumer Privacy Act Regulations (CCPA),Article 3. Business Practices for Handling Consumer Requests - § 999.313 Responding to Requests to Know and Requests to Delete,"Details of Article 3. Business Practices for Handling Consumer Requests - § 999.313 Responding to Requests to Know and Requests to Delete in the California Consumer Privacy Act Regulations (CCPA): (a) Upon receiving a request to know or a request to delete, a business shall confirm receipt of the request within 10 business days and provide information about how the business will process the request. The information provided shall describe in general the business’s verification process and when the consumer should expect a response, except in instances where the business has already granted or denied the request. The confirmation may be given in the same manner in which the request was received. For example, if the request is made over the phone, the confirmation may be given orally during the phone call. (b) Businesses shall respond to requests to know and requests to delete within 45 calendar days. The 45-day period will begin on the day that the business receives the request, regardless of time required to verify the request. If the business cannot verify the consumer within the 45- day time period, the business may deny the request. If necessary, businesses may take up to an additional 45 calendar days to respond to the consumer’s request, for a maximum total of 90 calendar days from the day the request is received, provided that the business provides the consumer with notice and an explanation of the reason that the business will take more than 45 days to respond to the request. (c) Responding to Requests to Know. (1) For requests that seek the disclosure of specific pieces of information about the consumer, if a business cannot verify the identity of the person making the request pursuant to the regulations set forth in Article 4, the business shall not disclose any specific pieces of personal information to the requestor and shall inform the requestor that it cannot verify their identity. If the request is denied in whole or in part, the business shall also evaluate the consumer’s request as if it is seeking the disclosure of categories of personal information about the consumer pursuant to subsection (c)(2). (2) For requests that seek the disclosure of categories of personal information about the consumer, if a business cannot verify the identity of the person making the request pursuant to the regulations set forth in Article 4, the business may deny the request to disclose the categories and other information requested and shall inform the requestor that it cannot verify their identity. If the request is denied in whole or in part, the business shall provide or direct the consumer to its general business practices regarding the collection, maintenance, and sale of personal information set forth in its privacy policy. (3) In responding to a request to know, a business is not required to search for personal information if all of the following conditions are met: a. The business does not maintain the personal information in a searchable or reasonably accessible format; b. The business maintains the personal information solely for legal or compliance purposes; c. The business does not sell the personal information and does not use it for any commercial purpose; and d. The business describes to the consumer the categories of records that may contain personal information that it did not search because it meets the conditions stated above. (4) A business shall not disclose in response to a request to know a consumer’s Social Security number, driver’s license number or other government-issued identification number, financial account number, any health insurance or medical identification number, an account password, security questions and answers, or unique biometric data generated from measurements or technical analysis of human characteristics. The business shall, however, inform the consumer with sufficient particularity that it has collected the type of information. For example, a business shall respond that it collects “unique biometric data including a fingerprint scan” without disclosing the actual fingerprint scan data. (5) If a business denies a consumer’s verified request to know specific pieces of personal information, in whole or in part, because of a conflict with federal or state law, or an exception to the CCPA, the business shall inform the requestor and explain the basis for the denial, unless prohibited from doing so by law. If the request is denied only in part, the business shall disclose the other information sought by the consumer. (6) A business shall use reasonable security measures when transmitting personal information to the consumer. (7) If a business maintains a password-protected account with the consumer, it may comply with a request to know by using a secure self-service portal for consumers to access, view, and receive a portable copy of their personal information if the portal fully discloses the personal information that the consumer is entitled to under the CCPA and these regulations, uses reasonable data security controls, and complies with the verification requirements set forth in Article 4. (8) Unless otherwise specified by the business to cover a longer period of time, the 12- month period covered by a consumer’s verifiable request to know referenced in Civil Code section 1798.130, subdivision (a)(2), shall run from the date the business receives the request, regardless of the time required to verify the request. (9) In responding to a consumer’s verified request to know categories of personal information, categories of sources, and/or categories of third parties, a business shall provide an individualized response to the consumer as required by the CCPA. It shall not refer the consumer to the businesses’ general practices outlined in its privacy policy unless its response would be the same for all consumers and the privacy policy discloses all the information that is otherwise required to be in a response to a request to know such categories. (10) In responding to a verified request to know categories of personal information, the business shall provide: a. The categories of personal information the business has collected about the consumer in the preceding 12 months; b. The categories of sources from which the personal information was collected; c. The business or commercial purpose for which it collected or sold the personal information; d. The categories of third parties with whom the business shares personal information; e. The categories of personal information that the business sold in the preceding 12 months, and for each category identified, the categories of third parties to whom it sold that particular category of personal information; and f. The categories of personal information that the business disclosed for a business purpose in the preceding 12 months, and for each category identified, the categories of third parties to whom it disclosed that particular category of personal information. (11) A business shall identify the categories of personal information, categories of sources of personal information, and categories of third parties to whom a business sold or disclosed personal information, in a manner that provides consumers a meaningful understanding of the categories listed. (d) Responding to Requests to Delete. (1) For requests to delete, if a business cannot verify the identity of the requestor pursuant to the regulations set forth in Article 4, the business may deny the request to delete. The business shall inform the requestor that their identity cannot be verified. (2) A business shall comply with a consumer’s request to delete their personal information by: a. Permanently and completely erasing the personal information on its existing systems with the exception of archived or back-up systems; b. Deidentifying the personal information; or c. Aggregating the consumer information. (3) If a business stores any personal information on archived or backup systems, it may delay compliance with the consumer’s request to delete, with respect to data stored on the archived or backup system, until the archived or backup system relating to that data is restored to an active system or next accessed or used for a sale, disclosure, or commercial purpose. (4) In responding to a request to delete, a business shall inform the consumer whether or not it has complied with the consumer’s request. (5) If the business complies with the consumer’s request, the business shall inform the consumer that it will maintain a record of the request as required by section 999.317, subsection (b). A business may retain a record of the request for the purpose of ensuring that the consumer’s personal information remains deleted from the business’s records. (6) In cases where a business denies a consumer’s request to delete, the business shall do all of the following: a. Inform the consumer that it will not comply with the consumer’s request and describe the basis for the denial, including any conflict with federal or state law, or exception to the CCPA, unless prohibited from doing so by law; b. Delete the consumer’s personal information that is not subject to the exception; and c. Not use the consumer’s personal information retained for any other purpose than provided for by that exception. (7) If a business that denies a consumer’s request to delete sells personal information and the consumer has not already made a request to opt-out, the business shall ask the consumer if they would like to opt-out of the sale of their personal information and shall include either the contents of, or a link to, the notice of right to opt-out in accordance with section 999.306. (8) In responding to a request to delete, a business may present the consumer with the choice to delete select portions of their personal information only if a global option to delete all personal information is also offered and more prominently presented than the other choices.",article
California Consumer Privacy Act Regulations (CCPA),Article 3. Business Practices for Handling Consumer Requests - § 999.314 Service Providers,"Details of Article 3. Business Practices for Handling Consumer Requests - § 999.314 Service Providers in the California Consumer Privacy Act Regulations (CCPA): (a) A business that provides services to a person or organization that is not a business, and that would otherwise meet the requirements and obligations of a “service provider” under the CCPA and these regulations, shall be deemed a service provider for purposes of the CCPA and these regulations. (b) To the extent that a business directs a second entity to collect personal information directly from a consumer, or about a consumer, on the first business’s behalf, and the second entity would otherwise meet the requirements and obligations of a “service provider” under the CCPA and these regulations, the second entity shall be deemed a service provider of the first business for purposes of the CCPA and these regulations. (c) A service provider shall not retain, use, or disclose personal information obtained in the course of providing services except: (1) To process or maintain personal information on behalf of the business that provided the personal information or directed the service provider to collect the personal information, and in compliance with the written contract for services required by the CCPA; (2) To retain and employ another service provider as a subcontractor, where the subcontractor meets the requirements for a service provider under the CCPA and these regulations; (3) For internal use by the service provider to build or improve the quality of its services, provided that the use does not include building or modifying household or consumer profiles to use in providing services to another business, or correcting or augmenting data acquired from another source; (4) To detect data security incidents or protect against fraudulent or illegal activity; or (5) For the purposes enumerated in Civil Code section 1798.145, subdivisions (a)(1) through (a)(4). (d) A service provider shall not sell data on behalf of a business when a consumer has opted-out of the sale of their personal information with the business. (e) If a service provider receives a request to know or a request to delete from a consumer, the service provider shall either act on behalf of the business in responding to the request or inform the consumer that the request cannot be acted upon because the request has been sent to a service provider. (f) A service provider that is a business shall comply with the CCPA and these regulations with regard to any personal information that it collects, maintains, or sells outside of its role as a service provider.",article
